Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL
1,Los Angeles Dodgers,111,51,0.685,W 1,5.2,3.2,2.1,-0.2,1.8,116-46
2,Houston Astros,106,56,0.654,W 2,4.5,3.2,1.4,-0.1,1.3,106-56
3,Atlanta Braves,101,61,0.623,L 1,4.9,3.8,1.1,-0.1,1,100-62
4,New York Mets,101,61,0.623,W 3,4.8,3.7,1,-0.1,1,99-63
5,New York Yankees,99,63,0.611,L 2,5,3.5,1.5,0,1.5,106-56
6,St. Louis Cardinals,93,69,0.574,L 1,4.8,3.9,0.8,-0.3,0.6,95-67
7,Cleveland Guardians,92,70,0.568,W 2,4.3,3.9,0.4,-0.1,0.2,88-74
8,Toronto Blue Jays,92,70,0.568,W 1,4.8,4.2,0.6,0.1,0.7,91-71
9,Seattle Mariners,90,72,0.556,W 3,4.3,3.8,0.4,0,0.4,89-73
10,San Diego Padres,89,73,0.549,L 1,4.4,4.1,0.3,0,0.3,86-76
11,Philadelphia Phillies,87,75,0.537,L 2,4.6,4.2,0.4,0,0.4,87-75
12,Milwaukee Brewers,86,76,0.531,L 1,4.5,4.2,0.2,-0.2,0,85-77
13,Tampa Bay Rays,86,76,0.531,L 5,4.1,3.8,0.3,0.1,0.4,87-75
14,Baltimore Orioles,83,79,0.512,L 1,4.2,4.2,-0.1,0.2,0.1,79-83
15,Chicago White Sox,81,81,0.5,L 1,4.2,4.4,-0.2,-0.1,-0.3,78-84
16,San Francisco Giants,81,81,0.5,W 1,4.4,4.3,0.1,0,0.1,83-79
17,Minnesota Twins,78,84,0.481,W 1,4.3,4.2,0.1,-0.1,0,82-80
18,Boston Red Sox,78,84,0.481,W 3,4.5,4.9,-0.3,0.2,-0.1,76-86
19,Chicago Cubs,74,88,0.457,W 1,4.1,4.5,-0.5,-0.1,-0.6,73-89
20,Arizona Diamondbacks,74,88,0.457,W 1,4.3,4.6,-0.2,0,-0.2,77-85
21,Los Angeles Angels,73,89,0.451,L 3,3.8,4.1,-0.3,0.1,-0.1,76-86
22,Miami Marlins,69,93,0.426,W 1,3.6,4.2,-0.6,0.1,-0.5,70-92
23,Texas Rangers,68,94,0.42,W 2,4.4,4.6,-0.2,0.1,-0.1,77-85
24,Colorado Rockies,68,94,0.42,L 1,4.3,5.4,-1.1,0.1,-1,65-97
25,Detroit Tigers,66,96,0.407,L 3,3.4,4.4,-1,0,-1,63-99
26,Kansas City Royals,65,97,0.401,L 2,4,5,-1,0.1,-1,64-98
27,Pittsburgh Pirates,62,100,0.383,W 1,3.6,5,-1.4,0,-1.4,58-104
28,Cincinnati Reds,62,100,0.383,L 1,4,5,-1,-0.1,-1.1,64-98
29,Oakland Athletics,60,102,0.37,W 4,3.5,4.8,-1.2,0.2,-1,59-103
30,Washington Nationals,55,107,0.34,L 5,3.7,5.3,-1.6,0.1,-1.4,56-106
,Average,81,81,0.5,,4.3,4.3,,,,81-80